ID,M1B_money,M1B_money_rate,M2_money,M2_money_rate,date
1,114898,9.35,311293,5.63,10001
2,116273,9.4,314248,6.24,10002
3,114816,9.22,313720,6.02,10003
4,114459,8.17,314859,6,10004
5,114757,8,315802,6.2,10005
6,114159,8.06,315184,6.07,10006
7,114734,7.6,317127,6.24,10007
8,116725,7.44,319422,6.16,10008
9,116743,6.28,319186,5.85,10009
10,115733,5.12,320418,5.54,10010
11,115820,4.22,321457,5.1,10011
12,116620,3.51,322950,5.01,10012
13,119336,3.86,327557,5.22,10101
14,119572,2.84,329716,4.92,10102
15,118798,3.47,329568,5.05,10103
16,118774,3.77,329725,4.72,10104
17,118474,3.24,329684,4.4,10105
18,117795,3.18,328397,4.19,10106
19,118040,2.88,329165,3.8,10107
20,119912,2.73,331199,3.69,10108
21,120652,3.35,331814,3.96,10109
22,119859,3.57,330970,3.29,10110
23,120051,3.65,331933,3.26,10111
24,122344,4.91,334790,3.67,10112
25,124079,3.97,337350,2.99,10201
26,126342,5.66,341370,3.53,10202
27,125956,6.03,342012,3.78,10203
28,125567,5.72,341946,3.71,10204
29,126810,7.04,343915,4.32,10205
30,127092,7.89,344227,4.82,10206
31,128229,8.63,346991,5.42,10207
32,129881,8.31,349120,5.41,10208
33,130366,8.05,350205,5.54,10209
34,130148,8.58,350810,5.99,10210
35,130680,8.85,352001,6.05,10211
36,132741,8.5,354055,5.75,10212
37,136397,9.93,357498,5.97,10301
38,137240,8.63,360510,5.61,10302
39,137126,8.87,362153,5.89,10303
40,136997,9.1,363274,6.24,10304
41,137138,8.14,364250,5.91,10305
42,136572,7.46,363987,5.74,10306
43,138044,7.65,366529,5.63,10307
44,139705,7.56,368799,5.64,10308
45,139965,7.36,368802,5.31,10309
46,139487,7.18,368276,4.98,10310
47,139765,6.95,370367,5.22,10311
48,141894,6.9,374757,5.85,10312
49,143263,5.03,378461,5.86,10401
50,145643,6.12,383991,6.51,10402
51,145171,5.87,385930,6.57,10403
52,145014,5.85,386981,6.53,10404
53,145612,6.18,389065,6.81,10405
54,144885,6.09,387740,6.53,10406
55,145863,5.66,388749,6.06,10407
56,147896,5.86,390980,6.01,10408
57,149233,6.62,392764,6.5,10409
58,148906,6.75,392518,6.58,10410
59,149174,6.73,394048,6.39,10411
60,150937,6.37,396061,5.68,10412
61,153176,6.92,399752,5.63,10501
62,154540,6.11,403859,5.17,10502
63,154112,6.16,404498,4.81,10503
64,154152,6.3,404971,4.65,10504
65,154790,6.3,405184,4.14,10505
66,153917,6.23,404865,4.42,10506
67,154966,6.24,407037,4.7,10507
68,157479,6.48,408628,4.51,10508
69,158727,6.36,408681,4.05,10509
70,158354,6.35,408147,3.98,10510
71,158957,6.56,409654,3.96,10511
72,160011,6.01,412352,4.11,10512
73,162441,6.05,414630,3.72,10601
74,162382,5.07,418230,3.56,10602
75,161150,4.57,419212,3.64,10603
76,160641,4.21,419672,3.63,10604
77,160888,3.94,421673,4.07,10605
78,160741,4.43,419869,3.71,10606
79,162655,4.96,421707,3.6,10607
80,165523,5.11,423936,3.75,10608
81,165890,4.51,424219,3.8,10609
82,165647,4.61,423847,3.85,10610
83,165944,4.4,426309,4.07,10611
84,166457,4.03,427190,3.6,10612
85,167487,3.11,428810,3.42,10701
86,170755,5.16,434028,3.78,10702
87,169947,5.46,434306,3.6,10703
88,169638,5.6,434752,3.59,10704
89,171100,6.35,437387,3.73,10705
90,170226,5.9,437069,4.1,10706
91,172016,5.76,437234,3.68,10707
92,174149,5.21,438438,3.42,10708
93,174549,5.22,438374,3.34,10709
94,174445,5.31,438210,3.39,10710
95,174390,5.09,439487,3.09,10711
96,175928,5.69,440316,3.07,10712
